iso_code,location,date,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,location2
"OWID_WRL","World","2021-05-21",7.795e+09,2268.599,193200704,2.5,13.0,1.08e+10,393,"The World"
"OWID_ASI","Asia","2021-05-21",4.640e+09,3287.175,130537008,2.8,11.3,6.58e+09,353,"Asia"
"IND","India","2021-05-20",1.380e+09,328.2912,9525039,0.7,8.5,2.02e+09,1485,"India"
"OWID_AFR","Africa","2021-05-21",1.341e+09,1528.902,3264204,0.2,1.3,2.12e+09,4542,"Africa"
"OWID_EUR","Europe","2021-05-21",7.487e+08,2509.859,30080666,4.0,26.4,8.82e+08,205,"Europe"
"OWID_NAM","North America","2021-05-21",5.921e+08,3282.479,20348078,3.4,35.5,6.11e+08,210,"North America"
"OWID_EUN","European Union","2021-05-21",4.449e+08,3198.665,23289484,5.2,30.5,4.95e+08,149,"The European Union"
"OWID_SAM","South America","2021-05-21",4.308e+08,334.6011,8403504,2.0,14.8,5.87e+08,489,"South America"
"USA","United States","2021-05-21",3.310e+08,3381.312,13156685,4.0,53.2,2.48e+08,132,"The United States"
"IDN","Indonesia","2021-05-21",2.735e+08,1700.553,2191878,0.8,5.6,4.13e+08,1320,"Indonesia"
