iso_code,location,date,new_deaths_smoothed_per_million,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,death_days,vaccination_rate2,location2,year,month,day
"LTU","Lithuania","2022-04-23",2.231,2689862,58.5,852,0.0,72.5,201672.6,3314,19883,72.50,"Lithuania","2022","April","23"
"LUX","Luxembourg","2022-04-16",2.025,634814,139.1913,280,0.0,77.9,13109.18,655,843,77.93,"Luxembourg","2022","April","16"
"MDG","Madagascar","2021-06-28",.03,28427333,1060.677,189616,0.7,0.7,2.25e+07,1665,1427,0.69,"Madagascar","2021","June","28"
"MWI","Malawi","2022-02-27",.065,19647681,2283.826,42532,0.2,7.8,1.42e+07,4668,6002,7.82,"Malawi","2022","February","27"
"MYS","Malaysia","2022-04-23",.357,32776195,5252.945,142022,0.4,84.5,-1482868,-146,-1712,84.52,"Malaysia","2022","April","23"
"MDV","Maldives","2022-03-12",0,543620,954,183,0.0,73.3,36548,2790,0,73.28,"Maldives","2022","March","12"
"MLT","Malta","2022-04-22",3.322,516100,766.6278,757,0.1,92.1,-62284.99,-1152,-1975,92.07,"Malta","2022","April","22"
"MRT","Mauritania","2021-12-30",.09,4775110,32902.1,26670,0.6,24.4,2653858,1393,597,24.42,"Mauritania","2021","December","30"
"MUS","Mauritius","2021-11-23",11.667,1273428,863.9698,420,0.0,72.0,102218.4,3407,50622,71.97,"Mauritius","2021","November","23"
"MEX","Mexico","2022-04-22",.143,130262220,18949.38,312123,0.2,65.8,1.84e+07,827,15363,65.84,"Mexico","2022","April","22"
"MDA","Moldova","2021-08-06",.71,4024025,2773.188,61218,1.5,13.9,2658165,608,1737,13.94,"Moldova","2021","August","06"
"MNG","Mongolia","2022-04-22",0,3329282,428,420,0.0,68.3,390583.6,13019,0,68.27,"Mongolia","2022","April","22"
"MNE","Montenegro","2022-04-23",.91,628051,173.38,310,0.0,46.2,211998.8,9588,5479,46.24,"Montenegro","2022","April","23"
"MAR","Morocco","2022-02-06",.884,37344787,1735.515,48328,0.1,66.3,5101473,1478,48768,66.34,"Morocco","2022","February","06"
"MOZ","Mozambique","2021-12-15",.022,32163045,195201.7,1578430,4.9,22.5,1.85e+07,164,117,22.52,"Mozambique","2021","December","15"
"NAM","Namibia","2021-08-25",2.705,2587344,672.2857,23990,0.9,7.9,1865733,1089,7621,7.89,"Namibia","2021","August","25"
"NPL","Nepal","2022-04-23",0,29674920,58114,123349,0.4,74.8,1554699,176,0,74.76,"Nepal","2022","April","23"
"NZL","New Zealand","2022-04-21",2.118,5126300,147.094,1404,0.0,83.6,-186061.2,-1856,-20151,83.63,"New Zealand","2022","April","21"
"NGA","Nigeria","2022-01-29",.007,211400704,114310.6,2090928,1.0,7.0,1.54e+08,1033,1623,7.02,"Nigeria","2022","January","29"
"MKD","North Macedonia","2021-11-17",6.242,2082661,286.5385,10458,0.5,39.3,847439.8,1134,14748,39.31,"North Macedonia","2021","November","17"
"NOR","Norway","2022-04-20",2.3,5465629,30.46695,717,0.0,79.3,38826.09,758,9531,79.29,"Norway","2022","April","20"
"OMN","Oman","2021-03-22",.547,5223376,791.7396,51100,1.0,1.9,4076883,1117,3191,1.95,"Oman","2021","March","22"
"PAK","Pakistan","2022-04-23",.004,225199929,193973.2,709724,0.3,59.6,4.60e+07,908,778,59.56,"Pakistan","2022","April","23"
"PSE","Palestine","2021-10-03",3.255,5222756,1285.529,139689,2.7,27.1,2761990,277,4706,27.12,"Palestine","2021","October","03"
"PAN","Panama","2022-03-23",.424,4381583,7247.711,19754,0.5,78.3,75928.35,54,100,78.27,"Panama","2022","March","23"
"PRY","Paraguay","2021-10-08",.158,7219641,24537.18,84084,1.2,39.3,2937073,489,559,39.32,"Paraguay","2021","October","08"
"PER","Peru","2022-04-09",.737,33359415,5220.911,171429,0.5,86.5,-2162905,-177,-4340,86.48,"Peru","2022","April","09"
"PHL","Philippines","2021-08-15",1.567,111046910,2312.678,6425608,5.8,16.8,7.01e+07,153,26591,16.84,"The Philippines","2021","August","15"
"POL","Poland","2022-04-22",.442,37797000,586.8732,28692,0.1,59.9,7598361,3708,61970,59.90,"Poland","2022","April","22"
